ComputerName;SerialNumber;WhenCreated;FiveYearDate;DaysUntilFiveYears
DSIMAR1172;;14.10.2014;14.10.2019;-2373
DSIMAR1186;8CG7212L08;6.06.2017;6.06.2022;-1407
DSIMAR1210;8CG836454M;30.08.2018;30.08.2023;-957
DSIMAR1212;8CG8367GNV;30.08.2018;30.08.2023;-957
DSIMAR1219;8CG8496PBC;7.04.2022;7.04.2027;359
DSIMAR1221;8CG8496PQN;14.11.2018;14.11.2023;-881
DSIMAR1222;8CG84862CB;14.12.2018;14.12.2023;-851
DSIMAR1225;CZC9028629;12.04.2022;12.04.2027;364
DSIMAR1229;8CC9125VW1;6.03.2023;6.03.2028;693
DSIMAR1231;8CC9134HD8;29.11.2022;29.11.2027;595
DSIMAR1233;8CC9221SW9;17.02.2022;17.02.2027;310
DSIMAR1234;8CC9222PFY;3.05.2022;3.05.2027;385
DSIMAR1240;8CC9281FY0;29.09.2022;29.09.2027;534
DSIMAR1241;8CC9300DKF;26.10.2020;26.10.2025;-169
DSIMAR1242;8CC9431F84;11.11.2019;11.11.2024;-518
DSIMAR1243;8CC9431F85;11.11.2019;11.11.2024;-518
DSIMAR1245;8CC9431F89;12.11.2019;12.11.2024;-517
DSIMAR1248;8CC9432Q7P;17.05.2023;17.05.2028;765
DSIMAR1249;8CC9431F83;12.01.2021;12.01.2026;-91
DSIMAR1250;8CC9431F87;26.11.2019;26.11.2024;-503
DSIMAR1252;8CC9472XDN;6.12.2019;6.12.2024;-493
DSIMAR1256;8CC9482NKC;4.02.2026;4.02.2031;1758
DSIMAR1257;8CC949058X;18.12.2019;18.12.2024;-481
DSIMAR1258;8C61516MD6;18.08.2022;18.08.2027;492
DSIMAR1259;8CC1516MD4;22.08.2022;22.08.2027;496
DSIMAR1260;8CC1516MD5;22.08.2022;22.08.2027;496
DSIMAR1261;8CC9472XDR;9.01.2024;9.01.2029;1002
DSIMAR1262;8CC0090298;17.03.2020;17.03.2025;-392
DSIMAR1263;8CC0090KRP;23.03.2020;23.03.2025;-386
DSIMAR1266;8CC0110FXT;30.03.2020;30.03.2025;-379
DSIMAR1267;8CC0110FXW;14.10.2024;14.10.2029;1280
DSIMAR1268;8CC0140LTF;23.04.2020;23.04.2025;-355
DSIMAR1269;8CC0140LTG;23.04.2020;23.04.2025;-355
